A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,Year,Race,Gender,Orientation,Transgender
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,Asian,Male,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,Asian,Male,Homosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,Middle Eastern,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Male,Homosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,Asian,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,"Hispanic or Latinx, White",Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,"Hispanic or Latinx, White",Male,Heterosexual,No
I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Third,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Second,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Third,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Third,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Second,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,Asian,Male,Heterosexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Third,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Second,Hispanic or Latinx,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,First,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,First,Asian,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,Fourth,White,Male,Heterosexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,First,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,Asian,Male,Heterosexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,First,White,Male,Heterosexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,Asian,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,First,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Second,Hispanic or Latinx,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Third,"Hispanic or Latinx, White",Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Nonbinary,Heterosexual,Yes
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,"Hispanic or Latinx, Multiracial",Female,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Third,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Male,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Third,"Hispanic or Latinx, White",Male,Homosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,"Asian, White",Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,"Hispanic or Latinx, White",Male,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,Asian,Nonbinary,Queer,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,Fourth,Asian,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,Asian,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,Mix,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Female,Heterosexual,No
